Apples,Fruit,apple,"Apples are probably the easiest tree fruit to grow and the most popular with gardeners. You may be lucky enough to have one in your garden already, but if not, they are easy to establish. There are thousands of different types of apples, but they broadly fall into two categories: dessert apples for eating, and cookers, as the name suggest, for cooking. Some are dual-purpose, so suitable for both uses.",3,1,1,123bc/89ba
Apricots,Fruit,apricot,"Home grown apricots are delicious, packed with juice and delicate flavours - eaten straight from the tree they are tastier than anything bought in a shop. They are not the tender treasures you may imagine - many modern cultivars have been bred to crop reliably in cooler climates. They can be grown as fans, bushes or pyramid trees - there are even dwarf varieties for a pot on the patio.",1,3,2,123bc/78
Asparagus,Vegetable,asparagus,"Asparagus is one of the most sought-after vegetables. Its subtle flavour offers a real treat during the short time it is in season. It's surprisingly easy to grow. It thrives on well-drained soil or in raised beds, as long as it is kept well fed and weed-free.",2,3,2,3/456
Basil,Herb,basil,"This popular annual herb is an essential ingredient in Italian cooking with strongly flavoured leaves that can be used to perk up tomato dishes or blitzed to make pesto sauce. Seeds are best sown indoors in late winter or early spring for plants that can be grown outdoors in summer, providing leaves that can be harvested well into the autumn.",1,4,2,234567/6789
Bay,Herb,bay,"Farmed for its pungent leaves which are used to flavour a wide range of dishes, bay also boasts attractive ornamental good looks. Plants can be used to punctuate borders or grow in containers; used as the centerpiece for a group of herbs or placed as elegant sentries either side of a front door.",1,3,1,3456/123456789abc
Beetroot,Vegetable,beetroot,"Beetroot are easy to grow and ideal for anyone new to vegetable gardening. And beetroot is for more than pickling! Try roasting beetroot - or even put it in a burger when you're having a barbecue. For best results, sow beetroot little and often, harvesting the roots when they are young, tender and the size of a golf ball. If you grow varieties for winter storage, it is possible to have beetroot almost all year round",1,3,1,34567/6789a
Chamomile,Herb,chamomile,"Chamomile tea is a popular herbal drink made from the flower of this fully hardy perennial. The feathery green leaves are highly fragrant when touched or crushed, and in small amounts can be finely chopped to flavour cream services. It is often planted en-masse to create a scented chamomile lawn - non-flowering cultivars of this herb are ideal for this purpose, while those that bear white daisy-like flowers above plants in summer are best for culinary use",1,1,1,6/78
Cherries,Fruit,cherries,"Sweet cherries produce delicious fruit and are usually grown as small open trees, or trained as fans against walls or fences. They can also be grown in large containers - and if you choose a self-fertile cultivar, they will fruit without a pollination partner. Acid cherries are self-fertile, tolerate some shade and are ideal for a north-facing wall. Their fruits are excellent for cooking, and make delicious jam.",2,4,2,123abc/678
Dill,Herb,dill,"Dill is a large annual or biennial herb with ferny foliage that is topped with sprays of yellow flower in summer. The strongly flavoured leaves can be chopped into soups, salads or used to flavour rice. Seeds are often used as ingredient in curry powder. This statuesque plant is ideally suited to growing in the middle of a border, it leaves providing feathery foil for other plants.",1,3,1,4567/56789
Fennel,Herb,fennel,"The herb fennel is closely related to the vegetable Florence fennel. However, the herb form is grown as a perennial, making it a long-lived plant that is covered in pretty yellow flowers in early summer. Every part of the plant has a distinctive, aniseed-like scent and taste, and can be used in salads and cooking; particularly with fish.  The flowers are attractive to a range of beneficial insects",1,1,1,34567/56789
